省份,城市,城市代码,24小时累积雨量(mm)
内蒙古自治区,商都,53385,274.7
广西壮族自治区,天等,59227,266.2
广西壮族自治区,忻城,59038,200.9
福建省,建阳,58734,151.7
海南省,中沙,59979,118.8
海南省,海口,59758,118.8
广西壮族自治区,东兴,59626,110.5
广东省,龙川,59107,107.9
广西壮族自治区,田东,59224,107.8
广西壮族自治区,平果,59228,102.8
广东省,增城,59294,102.10000000000001
广西壮族自治区,陆川,59457,101.0
广西壮族自治区,防城,59631,91.9
广西壮族自治区,上林,59235,90.8
广东省,河源,59293,84.39999999999999
广西壮族自治区,巴马,59027,80.8
云南省,金平,56987,78.4
广东省,广州,59287,76.7
福建省,东山,59321,75.9
广西壮族自治区,崇左,59425,74.4
海南省,乐东,59940,73.7
福建省,永泰,58932,69.2
广东省,佛山,59288,68.0
广西壮族自治区,防城港,59635,66.0
广西壮族自治区,田阳,59213,64.5
广西壮族自治区,南宁,59431,63.8
广西壮族自治区,南宁城区,59432,63.8
广西壮族自治区,德保,59215,63.7
福建省,宁德,58846,63.599999999999994
江西省,寻乌,59102,62.9
贵州省,晴隆,57900,62.1
福建省,云霄,59322,60.6
海南省,澄迈,59843,59.900000000000006
广西壮族自治区,浦北,59448,59.8
广西壮族自治区,博白,59449,59.300000000000004
福建省,明溪,58824,57.599999999999994
海南省,临高,59842,57.0
贵州省,榕江,57932,55.2
广西壮族自治区,南丹,59022,54.7
福建省,尤溪,58837,54.4
广西壮族自治区,横县,59441,53.800000000000004
贵州省,普安,56792,53.1
贵州省,贞丰,57905,53.1
黑龙江省,嘉荫,50673,52.8
广东省,汕尾,59501,52.7
广东省,佛冈,59087,51.3
广东省,海丰,59500,51.3
广西壮族自治区,隆安,59229,51.1
广西壮族自治区,宜州,59034,50.1
福建省,大田,58923,49.8
广西壮族自治区,田林,59017,49.5
广西壮族自治区,马山,59230,49.2
江西省,石城,58814,49.1
广西壮族自治区,凭祥,59419,48.5
福建省,将乐,58821,47.800000000000004
贵州省,册亨,57909,47.7
广西壮族自治区,东兰,59025,47.6
云南省,石屏,56970,47.4
广东省,徐闻,59754,47.0
福建省,上杭,58918,45.5
广东省,从化,59285,45.5
江西省,安远,58907,44.900000000000006
广西壮族自治区,凌云,59015,44.9
福建省,顺昌,58823,43.7
广东省,仁化,57989,42.9
黑龙江省,绥滨,50787,42.8
广西壮族自治区,邕宁,59435,42.7
福建省,福安,58748,42.6
广西壮族自治区,大新,59421,42.2
四川省,西充,57309,41.5
福建省,漳浦,59129,40.0
福建省,武平,58917,40.0
四川省,南部,57314,39.4
江西省,定南,59093,38.9
黑龙江省,虎林,50983,38.6
福建省,连城,58912,38.5
广西壮族自治区,天峨,57927,38.4
福建省,同安,59130,38.300000000000004
云南省,砚山,56991,38.199999999999996
贵州省,从江,57936,37.7
四川省,仪陇,57315,37.6
贵州省,长顺,57818,37.6
四川省,巴中,57313,37.6
黑龙江省,同江,50778,37.5
