省份,城市,城市代码,日期,有效时次,日平均气温(°C)
青海省,泽库,52968,2019-05-28,4,5.2
四川省,峨眉山,56385,2019-05-28,4,5.8
西藏自治区,普兰,55437,2019-05-28,4,6.6
青海省,河南,56065,2019-05-28,4,6.6
青海省,杂多,56018,2019-05-28,4,6.8
青海省,天峻,52745,2019-05-28,4,7.7
青海省,玛沁,56043,2019-05-28,4,7.9
青海省,刚察,52754,2019-05-28,4,7.9
甘肃省,正宁,53935,2019-05-28,4,8.2
青海省,玉树,56029,2019-05-28,4,8.2
甘肃省,华亭,53927,2019-05-28,4,8.4
黑龙江省,伊春,50774,2019-05-28,4,8.4
黑龙江省,绥芬河,54096,2019-05-28,4,8.5
青海省,格尔木,52818,2019-05-28,4,8.6
青海省,海晏,52853,2019-05-28,4,8.6
甘肃省,西峰,53923,2019-05-28,4,8.7
宁夏回族自治区,西吉,53903,2019-05-28,4,9.1
甘肃省,崆峒,53915,2019-05-28,4,9.2
宁夏回族自治区,固原,53817,2019-05-28,4,9.4
甘肃省,临潭,56081,2019-05-28,4,9.4
黑龙江省,鹤岗,50775,2019-05-28,4,9.6
四川省,阿坝,56171,2019-05-28,4,9.7
黑龙江省,双鸭山,50884,2019-05-28,4,9.8
甘肃省,东乡,52981,2019-05-28,4,9.8
吉林省,白山,54371,2019-05-28,4,10.1
甘肃省,天祝,52881,2019-05-28,4,10.1
甘肃省,渭源,52998,2019-05-28,4,10.1
青海省,共和,52856,2019-05-28,4,10.2
陕西省,永寿,57030,2019-05-28,4,10.4
青海省,茫崖,51886,2019-05-28,4,10.5
甘肃省,和政,52985,2019-05-28,4,10.7
甘肃省,安定,52995,2019-05-28,4,10.7
甘肃省,康县,57105,2019-05-28,4,10.8
青海省,祁连,52657,2019-05-28,4,11.0
甘肃省,环县,53821,2019-05-28,4,11.0
陕西省,洛川,53942,2019-05-28,4,11.0
黑龙江省,七台河,50971,2019-05-28,4,11.2
黑龙江省,绥化,50853,2019-05-28,4,11.2
吉林省,吉林,54172,2019-05-28,4,11.2
吉林省,桦甸,54273,2019-05-28,4,11.4
甘肃省,庆城,53829,2019-05-28,4,11.4
陕西省,凤县,57113,2019-05-28,4,11.5
黑龙江省,佳木斯,50873,2019-05-28,4,11.5
甘肃省,永昌,52674,2019-05-28,4,11.5
辽宁省,新宾,54353,2019-05-28,4,11.6
陕西省,凤翔,57025,2019-05-28,4,11.6
黑龙江省,牡丹江,54094,2019-05-28,4,11.6
陕西省,铜川,53947,2019-05-28,4,11.6
黑龙江省,勃利,50973,2019-05-28,4,11.8
甘肃省,迭部,56084,2019-05-28,4,11.8
贵州省,大方,57708,2019-05-28,4,12.0
吉林省,通化,54363,2019-05-28,4,12.0
青海省,西宁,52866,2019-05-28,4,12.1
陕西省,吴旗,53738,2019-05-28,4,12.1
黑龙江省,加格达奇,50442,2019-05-28,4,12.2
陕西省,岐山,57024,2019-05-28,4,12.2
黑龙江省,鸡西,50978,2019-05-28,4,12.5
陕西省,渭南,57045,2019-05-28,4,12.6
陕西省,柞水,57140,2019-05-28,4,12.6
甘肃省,临夏,52984,2019-05-28,4,12.6
陕西省,商洛,57143,2019-05-28,4,12.6
陕西省,镇坪,57343,2019-05-28,4,12.7
陕西省,扶风,57026,2019-05-28,4,12.7
黑龙江省,漠河,50136,2019-05-28,4,12.8
甘肃省,天水,57006,2019-05-28,4,12.8
吉林省,延吉,54292,2019-05-28,4,12.8
陕西省,延安,53845,2019-05-28,4,12.8
陕西省,宁陕,57137,2019-05-28,4,13.0
新疆维吾尔自治区,乌鲁木齐,51463,2019-05-28,4,13.0
云南省,香格里拉,56543,2019-05-28,4,13.1
青海省,平安,52875,2019-05-28,4,13.2
黑龙江省,杜蒙,50842,2019-05-28,4,13.2
云南省,昭通,56586,2019-05-28,4,13.2
吉林省,梅河口,54266,2019-05-28,4,13.2
黑龙江省,大庆,50850,2019-05-28,4,13.3
陕西省,宝鸡,57016,2019-05-28,4,13.4
甘肃省,白银,52896,2019-05-28,4,13.4
四川省,广元,57206,2019-05-28,4,13.4
吉林省,辽源,54260,2019-05-28,4,13.5
吉林省,珲春,54291,2019-05-28,4,13.5
西藏自治区,泽当,55598,2019-05-28,4,13.5
西藏自治区,林芝,56312,2019-05-28,4,13.5
陕西省,咸阳,57048,2019-05-28,4,13.5
陕西省,潼关,57054,2019-05-28,4,13.6
陕西省,镇安,57144,2019-05-28,4,13.7
陕西省,勉县,57119,2019-05-28,4,13.8
贵州省,毕节,57707,2019-05-28,4,13.8
吉林省,集安,54377,2019-05-28,4,14.0
湖北省,神农架,57362,2019-05-28,4,14.1
陕西省,泾阳,57033,2019-05-28,4,14.1
甘肃省,永靖,52980,2019-05-28,4,14.2
陕西省,西安,57036,2019-05-28,4,14.3
吉林省,四平,54157,2019-05-28,4,14.3
黑龙江省,齐齐哈尔,50745,2019-05-28,4,14.4
贵州省,水城,56693,2019-05-28,4,14.4
陕西省,汉中,57127,2019-05-28,4,14.5
青海省,循化,52972,2019-05-28,4,14.5
陕西省,城固,57128,2019-05-28,4,14.6
四川省,蓬溪,57402,2019-05-28,4,14.6
吉林省,松原,50946,2019-05-28,4,14.7
四川省,射洪,57401,2019-05-28,4,14.7
四川省,甘孜,56146,2019-05-28,4,14.8
四川省,遂宁,57405,2019-05-28,4,14.8
甘肃省,武威,52679,2019-05-28,4,14.9
陕西省,华县,57049,2019-05-28,4,14.9
新疆维吾尔自治区,阿勒泰,51076,2019-05-28,4,14.9
湖南省,南岳,57776,2019-05-28,4,15.0
陕西省,大荔,57043,2019-05-28,4,15.0
四川省,巴中,57313,2019-05-28,4,15.0
江西省,庐山,58506,2019-05-28,4,15.0
宁夏回族自治区,同心,53810,2019-05-28,4,15.0
西藏自治区,昌都,56137,2019-05-28,4,15.2
贵州省,安顺,57806,2019-05-28,4,15.2
西藏自治区,日喀则,55578,2019-05-28,4,15.2
新疆维吾尔自治区,奇台,51379,2019-05-28,4,15.3
贵州省,黔西,57803,2019-05-28,4,15.3
贵州省,贵阳,57816,2019-05-28,4,15.3
新疆维吾尔自治区,昌吉,51368,2019-05-28,4,15.3
河南省,三门峡,57051,2019-05-28,4,15.4
四川省,南充,57411,2019-05-28,4,15.4
贵州省,织金,57805,2019-05-28,4,15.5
辽宁省,本溪,54346,2019-05-28,4,15.6
四川省,广安,57415,2019-05-28,4,15.6
贵州省,都匀,57827,2019-05-28,4,15.6
贵州省,麻江,57828,2019-05-28,4,15.6
四川省,内江,57503,2019-05-28,4,15.7
四川省,资阳,56298,2019-05-28,4,15.7
甘肃省,兰州,52889,2019-05-28,4,15.7
四川省,宜宾,56492,2019-05-28,4,15.7
四川省,雅安,56287,2019-05-28,4,15.8
辽宁省,铁岭,54249,2019-05-28,4,15.8
重庆市,铜梁,57510,2019-05-28,4,15.8
重庆市,万盛,57509,2019-05-28,4,15.8
吉林省,白城,50936,2019-05-28,4,15.8
陕西省,岚皋,57247,2019-05-28,4,15.9
重庆市,巴南,57518,2019-05-28,4,15.9
新疆维吾尔自治区,塔城,51133,2019-05-28,4,15.9
黑龙江省,甘南,50741,2019-05-28,4,16.0
四川省,绵竹,56186,2019-05-28,4,16.0
四川省,绵阳,56196,2019-05-28,4,16.0
重庆市,荣昌,57505,2019-05-28,4,16.1
四川省,罗江,56191,2019-05-28,4,16.1
辽宁省,沈阳,54342,2019-05-28,4,16.1
四川省,德阳,56198,2019-05-28,4,16.1
重庆市,南川,57519,2019-05-28,4,16.1
四川省,自贡,56396,2019-05-28,4,16.2
宁夏回族自治区,中卫,53704,2019-05-28,4,16.2
四川省,泸县,57508,2019-05-28,4,16.3
贵州省,龙里,57913,2019-05-28,4,16.3
重庆市,璧山,57514,2019-05-28,4,16.4
四川省,纳溪,57604,2019-05-28,4,16.4
甘肃省,山丹,52661,2019-05-28,4,16.4
陕西省,韩城,53955,2019-05-28,4,16.4
四川省,成都,56294,2019-05-28,4,16.4
四川省,温江,56187,2019-05-28,4,16.4
四川省,金堂,56296,2019-05-28,4,16.4
重庆市,永川,57506,2019-05-28,4,16.4
湖北省,竹溪,57249,2019-05-28,4,16.4
贵州省,福泉,57821,2019-05-28,4,16.6
新疆维吾尔自治区,沙湾,51357,2019-05-28,4,16.6
新疆维吾尔自治区,石河子,51356,2019-05-28,4,16.7
贵州省,贵定,57824,2019-05-28,4,16.8
辽宁省,丹东,54497,2019-05-28,4,16.9
贵州省,万山,57742,2019-05-28,4,17.0
贵州省,镇宁,57809,2019-05-28,4,17.0
宁夏回族自治区,吴忠,53612,2019-05-28,4,17.1
贵州省,桐梓,57606,2019-05-28,4,17.1
宁夏回族自治区,平罗,53611,2019-05-28,4,17.1
甘肃省,武都,56096,2019-05-28,4,17.2
重庆市,北碚,57511,2019-05-28,4,17.2
宁夏回族自治区,大武口,53518,2019-05-28,4,17.2
陕西省,安康,57245,2019-05-28,4,17.3
新疆维吾尔自治区,克拉玛依,51243,2019-05-28,4,17.3
新疆维吾尔自治区,博乐,51238,2019-05-28,4,17.5
河南省,西峡,57156,2019-05-28,4,17.6
宁夏回族自治区,陶乐,53615,2019-05-28,4,17.6
四川省,眉山,56391,2019-05-28,4,17.7
四川省,乐山,56386,2019-05-28,4,17.7
湖北省,房县,57259,2019-05-28,4,17.8
宁夏回族自治区,惠农,53519,2019-05-28,4,17.8
宁夏回族自治区,永宁,53618,2019-05-28,4,17.9
甘肃省,酒泉,52533,2019-05-28,4,18.1
贵州省,凯里,57825,2019-05-28,4,18.1
江西省,上饶,58637,2019-05-28,4,18.1
浙江省,衢州,58633,2019-05-28,4,18.2
四川省,达州,57328,2019-05-28,4,18.2
贵州省,遵义,57713,2019-05-28,4,18.3
甘肃省,嘉峪关,52532,2019-05-28,4,18.3
浙江省,丽水,58646,2019-05-28,4,18.4
河南省,驻马店市,57290,2019-05-28,4,18.4
新疆维吾尔自治区,伊宁市,51431,2019-05-28,4,18.6
重庆市,巫溪,57345,2019-05-28,4,18.6
浙江省,洞头,58760,2019-05-28,4,18.6
河北省,张家口,54401,2019-05-28,4,18.6
湖北省,十堰,57256,2019-05-28,4,18.6
陕西省,榆林,53646,2019-05-28,4,18.7
辽宁省,辽阳,54347,2019-05-28,4,18.7
辽宁省,阜新,54237,2019-05-28,4,18.8
重庆市,酉阳,57633,2019-05-28,4,18.8
甘肃省,高台,52546,2019-05-28,4,18.9
甘肃省,临泽,52557,2019-05-28,4,19.0
浙江省,临海,58660,2019-05-28,4,19.0
河南省,叶县,57184,2019-05-28,4,19.0
贵州省,兴义,57907,2019-05-28,4,19.1
甘肃省,张掖,52652,2019-05-28,4,19.2
浙江省,金华,58549,2019-05-28,4,19.2
河南省,南阳市,57178,2019-05-28,4,19.2
河南省,方城,57179,2019-05-28,4,19.2
贵州省,三都,57923,2019-05-28,4,19.2
江西省,玉山,58634,2019-05-28,4,19.2
浙江省,嵊州,58556,2019-05-28,4,19.3
河南省,平顶山,57171,2019-05-28,4,19.3
福建省,浦城,58731,2019-05-28,4,19.3
湖北省,襄阳,57278,2019-05-28,4,19.4
江苏省,盐城,58154,2019-05-28,4,19.4
江苏省,东台,58251,2019-05-28,4,19.4
河北省,承德,54423,2019-05-28,4,19.5
浙江省,宁海,58567,2019-05-28,4,19.6
江苏省,楚州,58145,2019-05-28,4,19.6
贵州省,镇远,57738,2019-05-28,4,19.6
重庆市,黔江,57536,2019-05-28,4,19.6
湖南省,郴州,57972,2019-05-28,4,19.7
新疆维吾尔自治区,喀什,51709,2019-05-28,4,19.7
浙江省,定海,58477,2019-05-28,4,19.7
河南省,新野,57271,2019-05-28,4,19.8
重庆市,巫山,57349,2019-05-28,4,19.8
